date,state,fips,cases,deaths
2022-09-01,Alabama,01,1494300,20160
2022-09-01,Alaska,02,292817,1297
2022-09-01,American Samoa,60,8168,34
2022-09-01,Arizona,04,2254374,31114
2022-09-01,Arkansas,05,933962,11923
2022-09-01,California,06,11093984,95017
2022-09-01,Colorado,08,1640135,13374
2022-09-01,Connecticut,09,875574,11269
2022-09-01,Delaware,10,302986,3042
2022-09-01,District of Columbia,11,166275,1382
2022-09-01,Florida,12,7031906,79955
2022-09-01,Georgia,13,2788282,38218
2022-09-01,Guam,66,58950,391
2022-09-01,Hawaii,15,331095,1641
2022-09-01,Idaho,16,489535,5118
2022-09-01,Illinois,17,3698673,39351
2022-09-01,Indiana,18,1895799,24454
2022-09-01,Iowa,19,843034,9940
2022-09-01,Kansas,20,864871,9019
2022-09-01,Kentucky,21,1551887,16679
2022-09-01,Louisiana,22,1433525,17877
2022-09-01,Maine,23,283147,2512
2022-09-01,Maryland,24,1224729,15194
2022-09-01,Massachusetts,25,2013992,21463
2022-09-01,Michigan,26,2770359,38038
2022-09-01,Minnesota,27,1639213,13471
2022-09-01,Mississippi,28,913049,12794
2022-09-01,Missouri,29,1628579,21432
2022-09-01,Montana,30,304533,3504
2022-09-01,Nebraska,31,530373,4455
2022-09-01,Nevada,32,841839,11400
2022-09-01,New Hampshire,33,344649,2662
2022-09-01,New Jersey,34,2679272,34567
2022-09-01,New Mexico,35,611765,8467
2022-09-01,New York,36,5981489,70441
2022-09-01,North Carolina,37,3120821,26345
2022-09-01,North Dakota,38,264750,2395
2022-09-01,Northern Mariana Islands,69,13120,40
2022-09-01,Ohio,39,3074826,39490
2022-09-01,Oklahoma,40,1174015,14744
2022-09-01,Oregon,41,878610,8415
2022-09-01,Pennsylvania,42,3185902,46716
2022-09-01,Puerto Rico,72,959930,4979
2022-09-01,Rhode Island,44,418635,3645
2022-09-01,South Carolina,45,1674281,18263
2022-09-01,South Dakota,46,257547,2993
2022-09-01,Tennessee,47,2242556,27203
2022-09-01,Texas,48,7748171,90413
2022-09-01,Utah,49,1030031,4981
2022-09-01,Vermont,50,140308,707
2022-09-01,Virgin Islands,78,22711,122
2022-09-01,Virginia,51,2042890,21439
2022-09-01,Washington,53,1784902,14079
2022-09-01,West Virginia,54,583775,7291
2022-09-01,Wisconsin,55,1833939,15084
2022-09-01,Wyoming,56,174828,1881
2022-09-02,Alabama,01,1496295,20202
2022-09-02,Alaska,02,292817,1297
2022-09-02,American Samoa,60,8168,34
2022-09-02,Arizona,04,2254374,31114
2022-09-02,Arkansas,05,935181,11929
2022-09-02,California,06,11117372,95097
2022-09-02,Colorado,08,1641270,13378
2022-09-02,Connecticut,09,876956,11269
2022-09-02,Delaware,10,303196,3070
2022-09-02,District of Columbia,11,166381,1382
2022-09-02,Florida,12,7037431,80027
2022-09-02,Georgia,13,2788282,38218
2022-09-02,Guam,66,59004,391
2022-09-02,Hawaii,15,331095,1641
2022-09-02,Idaho,16,490114,5121
2022-09-02,Illinois,17,3702948,39370
2022-09-02,Indiana,18,1899553,24454
2022-09-02,Iowa,19,843034,9940
2022-09-02,Kansas,20,864985,9020
2022-09-02,Kentucky,21,1552132,16679
2022-09-02,Louisiana,22,1435368,17885
2022-09-02,Maine,23,283421,2512
2022-09-02,Maryland,24,1225805,15199
2022-09-02,Massachusetts,25,2013992,21463
2022-09-02,Michigan,26,2770359,38038
2022-09-02,Minnesota,27,1639213,13471
2022-09-02,Mississippi,28,913049,12794
2022-09-02,Missouri,29,1636219,21502
2022-09-02,Montana,30,305814,3502
2022-09-02,Nebraska,31,530925,4455
2022-09-02,Nevada,32,842187,11408
2022-09-02,New Hampshire,33,344823,2662
2022-09-02,New Jersey,34,2681396,34577
2022-09-02,New Mexico,35,612146,8471
2022-09-02,New York,36,5985714,70458
2022-09-02,North Carolina,37,3120821,26345
2022-09-02,North Dakota,38,265310,2395
2022-09-02,Northern Mariana Islands,69,13120,40
2022-09-02,Ohio,39,3074826,39490
2022-09-02,Oklahoma,40,1174015,14744
2022-09-02,Oregon,41,879640,8427
2022-09-02,Pennsylvania,42,3185902,46716
2022-09-02,Puerto Rico,72,962193,4987
2022-09-02,Rhode Island,44,418635,3645
2022-09-02,South Carolina,45,1674281,18263
2022-09-02,South Dakota,46,257547,2993
2022-09-02,Tennessee,47,2245641,27209
2022-09-02,Texas,48,7758066,90450
2022-09-02,Utah,49,1030031,4981
2022-09-02,Vermont,50,140308,707
2022-09-02,Virgin Islands,78,22771,122
2022-09-02,Virginia,51,2045387,21463
2022-09-02,Washington,53,1787487,14109
2022-09-02,West Virginia,54,584771,7294
2022-09-02,Wisconsin,55,1835422,15091
2022-09-02,Wyoming,56,174828,1881
2022-09-03,Alabama,01,1496295,20202
2022-09-03,Alaska,02,292817,1297
2022-09-03,American Samoa,60,8168,34
2022-09-03,Arizona,04,2254374,31114
2022-09-03,Arkansas,05,936005,11933
2022-09-03,California,06,11117372,95097
2022-09-03,Colorado,08,1641270,13378
2022-09-03,Connecticut,09,876956,11269
2022-09-03,Delaware,10,303196,3070
2022-09-03,District of Columbia,11,166381,1382
2022-09-03,Florida,12,7037431,80027
2022-09-03,Georgia,13,2788282,38218
2022-09-03,Guam,66,59004,391
2022-09-03,Hawaii,15,331095,1641
2022-09-03,Idaho,16,490114,5121
2022-09-03,Illinois,17,3702948,39370
2022-09-03,Indiana,18,1899553,24454
2022-09-03,Iowa,19,843034,9940
2022-09-03,Kansas,20,864985,9020
2022-09-03,Kentucky,21,1552379,16679
2022-09-03,Louisiana,22,1435368,17885
2022-09-03,Maine,23,283611,2513
2022-09-03,Maryland,24,1225805,15199
2022-09-03,Massachusetts,25,2013992,21463
2022-09-03,Michigan,26,2770359,38038
2022-09-03,Minnesota,27,1639213,13471
2022-09-03,Mississippi,28,913049,12794
2022-09-03,Missouri,29,1636221,21502
2022-09-03,Montana,30,305814,3502
2022-09-03,Nebraska,31,530925,4455
2022-09-03,Nevada,32,842187,11408
2022-09-03,New Hampshire,33,344823,2662
2022-09-03,New Jersey,34,2683484,34583
2022-09-03,New Mexico,35,612146,8471
2022-09-03,New York,36,5987951,70458
2022-09-03,North Carolina,37,3120821,26345
2022-09-03,North Dakota,38,265310,2395
2022-09-03,Northern Mariana Islands,69,13120,40
2022-09-03,Ohio,39,3074826,39490
2022-09-03,Oklahoma,40,1174015,14744
2022-09-03,Oregon,41,879640,8427
2022-09-03,Pennsylvania,42,3185902,46716
2022-09-03,Puerto Rico,72,964042,4995
2022-09-03,Rhode Island,44,418635,3645
2022-09-03,South Carolina,45,1674281,18263
2022-09-03,South Dakota,46,257547,2993
2022-09-03,Tennessee,47,2245641,27209
2022-09-03,Texas,48,7758066,90450
2022-09-03,Utah,49,1030031,4981
2022-09-03,Vermont,50,140308,707
2022-09-03,Virgin Islands,78,22771,122
2022-09-03,Virginia,51,2045387,21463
2022-09-03,Washington,53,1787487,14109
2022-09-03,West Virginia,54,584771,7294
2022-09-03,Wisconsin,55,1835422,15091
2022-09-03,Wyoming,56,174828,1881
2022-09-04,Alabama,01,1496295,20202
2022-09-04,Alaska,02,292817,1297
2022-09-04,American Samoa,60,8168,34
2022-09-04,Arizona,04,2254374,31114
2022-09-04,Arkansas,05,936411,11933
2022-09-04,California,06,11117372,95097
2022-09-04,Colorado,08,1641270,13378
2022-09-04,Connecticut,09,876956,11269
2022-09-04,Delaware,10,303196,3070
2022-09-04,District of Columbia,11,166381,1382
2022-09-04,Florida,12,7037431,80027
2022-09-04,Georgia,13,2788282,38218
2022-09-04,Guam,66,59004,391
2022-09-04,Hawaii,15,331095,1641
2022-09-04,Idaho,16,490114,5121
2022-09-04,Illinois,17,3702948,39370
2022-09-04,Indiana,18,1899553,24454
2022-09-04,Iowa,19,843034,9940
2022-09-04,Kansas,20,864985,9020
2022-09-04,Kentucky,21,1552593,16679
2022-09-04,Louisiana,22,1435368,17885
2022-09-04,Maine,23,283611,2513
2022-09-04,Maryland,24,1225805,15199
2022-09-04,Massachusetts,25,2013992,21463
2022-09-04,Michigan,26,2770359,38038
2022-09-04,Minnesota,27,1639213,13471
2022-09-04,Mississippi,28,913049,12794
2022-09-04,Missouri,29,1636248,21502
2022-09-04,Montana,30,305814,3502
2022-09-04,Nebraska,31,530925,4455
2022-09-04,Nevada,32,842187,11408
2022-09-04,New Hampshire,33,344823,2662
2022-09-04,New Jersey,34,2685083,34583
2022-09-04,New Mexico,35,612146,8471
2022-09-04,New York,36,5989830,70458
2022-09-04,North Carolina,37,3120821,26345
2022-09-04,North Dakota,38,265310,2395
2022-09-04,Northern Mariana Islands,69,13120,40
2022-09-04,Ohio,39,3074826,39490
2022-09-04,Oklahoma,40,1174015,14744
2022-09-04,Oregon,41,879640,8427
2022-09-04,Pennsylvania,42,3185902,46716
2022-09-04,Puerto Rico,72,965740,4996
2022-09-04,Rhode Island,44,418635,3645
2022-09-04,South Carolina,45,1674281,18263
2022-09-04,South Dakota,46,257547,2993
2022-09-04,Tennessee,47,2245641,27209
2022-09-04,Texas,48,7758066,90450
2022-09-04,Utah,49,1030031,4981
2022-09-04,Vermont,50,140308,707
2022-09-04,Virgin Islands,78,22771,122
2022-09-04,Virginia,51,2045387,21463
2022-09-04,Washington,53,1787487,14109
2022-09-04,West Virginia,54,584771,7294
2022-09-04,Wisconsin,55,1835422,15091
2022-09-04,Wyoming,56,174828,1881
2022-09-05,Alabama,01,1496295,20202
2022-09-05,Alaska,02,292817,1297
2022-09-05,American Samoa,60,8168,34
2022-09-05,Arizona,04,2254374,31114
2022-09-05,Arkansas,05,936927,11933
2022-09-05,California,06,11122387,95119
2022-09-05,Colorado,08,1643225,13386
2022-09-05,Connecticut,09,878056,11269
2022-09-05,Delaware,10,303196,3070
2022-09-05,District of Columbia,11,166381,1382
2022-09-05,Florida,12,7037431,80027
