date,state,fips,cases,deaths
2022-06-01,Alabama,01,1315934,19664
2022-06-01,Alaska,02,260440,1246
2022-06-01,American Samoa,60,6145,31
2022-06-01,Arizona,04,2062669,30332
2022-06-01,Arkansas,05,843828,11488
2022-06-01,California,06,9618290,91552
2022-06-01,Colorado,08,1456370,12751
2022-06-01,Connecticut,09,810190,10973
2022-06-01,Delaware,10,276771,2958
2022-06-01,District of Columbia,11,150303,1343
2022-06-01,Florida,12,6169670,74557
2022-06-01,Georgia,13,2499711,36758
2022-06-01,Guam,66,50125,364
2022-06-01,Hawaii,15,275631,1454
2022-06-01,Idaho,16,452202,4944
2022-06-01,Illinois,17,3312546,38161
2022-06-01,Indiana,18,1735581,23700
2022-06-01,Iowa,19,780019,9603
2022-06-01,Kansas,20,789939,8959
2022-06-01,Kentucky,21,1367690,15945
2022-06-01,Louisiana,22,1261832,17332
2022-06-01,Maine,23,263439,2346
2022-06-01,Maryland,24,1093708,14611
2022-06-01,Massachusetts,25,1873034,20627
2022-06-01,Michigan,26,2541037,36365
2022-06-01,Minnesota,27,1509258,12948
2022-06-01,Mississippi,28,808888,12470
2022-06-01,Missouri,29,1471920,20754
2022-06-01,Montana,30,278038,3401
2022-06-01,Nebraska,31,487599,4290
2022-06-01,Nevada,32,738764,10896
2022-06-01,New Hampshire,33,325833,2539
2022-06-01,New Jersey,34,2398157,33727
2022-06-01,New Mexico,35,536571,7799
2022-06-01,New York,36,5433881,68383
2022-06-01,North Carolina,37,2773939,24663
2022-06-01,North Dakota,38,244638,2330
2022-06-01,Northern Mariana Islands,69,11366,34
2022-06-01,Ohio,39,2763123,38628
2022-06-01,Oklahoma,40,1049849,14420
2022-06-01,Oregon,41,767286,7639
2022-06-01,Pennsylvania,42,2932186,45254
2022-06-01,Puerto Rico,72,706088,4375
2022-06-01,Rhode Island,44,393415,3579
2022-06-01,South Carolina,45,1504967,17907
2022-06-01,South Dakota,46,240357,2928
2022-06-01,Tennessee,47,2014353,26209
2022-06-01,Texas,48,6873618,88572
2022-06-01,Utah,49,949210,4777
2022-06-01,Vermont,50,132676,670
2022-06-01,Virgin Islands,78,19971,113
2022-06-01,Virginia,51,1790726,20400
2022-06-01,Washington,53,1583850,12992
2022-06-01,West Virginia,54,516553,6962
2022-06-01,Wisconsin,55,1677367,14620
2022-06-01,Wyoming,56,158472,1820
2022-06-02,Alabama,01,1317029,19664
2022-06-02,Alaska,02,260440,1246
2022-06-02,American Samoa,60,6192,31
2022-06-02,Arizona,04,2062669,30332
2022-06-02,Arkansas,05,844463,11492
2022-06-02,California,06,9623352,91590
2022-06-02,Colorado,08,1458419,12758
2022-06-02,Connecticut,09,810849,10972
2022-06-02,Delaware,10,277187,2959
2022-06-02,District of Columbia,11,150495,1346
2022-06-02,Florida,12,6182874,74588
2022-06-02,Georgia,13,2499711,36758
2022-06-02,Guam,66,50231,365
2022-06-02,Hawaii,15,275631,1454
2022-06-02,Idaho,16,452240,4944
2022-06-02,Illinois,17,3318938,38171
2022-06-02,Indiana,18,1735581,23712
2022-06-02,Iowa,19,780447,9603
2022-06-02,Kansas,20,789939,8959
2022-06-02,Kentucky,21,1367986,15945
2022-06-02,Louisiana,22,1263204,17337
2022-06-02,Maine,23,263714,2351
2022-06-02,Maryland,24,1093681,14620
2022-06-02,Massachusetts,25,1876130,20651
2022-06-02,Michigan,26,2547366,36407
2022-06-02,Minnesota,27,1514070,12959
2022-06-02,Mississippi,28,809810,12470
2022-06-02,Missouri,29,1473063,20755
2022-06-02,Montana,30,278145,3401
2022-06-02,Nebraska,31,488110,4294
2022-06-02,Nevada,32,742260,10896
2022-06-02,New Hampshire,33,326295,2542
2022-06-02,New Jersey,34,2402892,33742
2022-06-02,New Mexico,35,537552,7805
2022-06-02,New York,36,5439906,68413
2022-06-02,North Carolina,37,2773939,24663
2022-06-02,North Dakota,38,244938,2330
2022-06-02,Northern Mariana Islands,69,11366,34
2022-06-02,Ohio,39,2780653,38657
2022-06-02,Oklahoma,40,1052091,14437
2022-06-02,Oregon,41,769081,7644
2022-06-02,Pennsylvania,42,2932186,45254
2022-06-02,Puerto Rico,72,709298,4380
2022-06-02,Rhode Island,44,393888,3580
2022-06-02,South Carolina,45,1504967,17907
2022-06-02,South Dakota,46,240357,2928
2022-06-02,Tennessee,47,2015991,26214
2022-06-02,Texas,48,6880508,88580
2022-06-02,Utah,49,954938,4781
2022-06-02,Vermont,50,132676,670
2022-06-02,Virgin Islands,78,19971,113
2022-06-02,Virginia,51,1793644,20410
2022-06-02,Washington,53,1583906,12992
2022-06-02,West Virginia,54,517249,6971
2022-06-02,Wisconsin,55,1680403,14637
2022-06-02,Wyoming,56,158472,1820
2022-06-03,Alabama,01,1317029,19664
2022-06-03,Alaska,02,260440,1246
2022-06-03,American Samoa,60,6192,31
2022-06-03,Arizona,04,2062669,30332
2022-06-03,Arkansas,05,845175,11498
2022-06-03,California,06,9661160,91660
2022-06-03,Colorado,08,1462079,12770
2022-06-03,Connecticut,09,811932,10973
2022-06-03,Delaware,10,277666,2961
2022-06-03,District of Columbia,11,150783,1346
2022-06-03,Florida,12,6196905,74588
2022-06-03,Georgia,13,2499711,36758
2022-06-03,Guam,66,50293,365
2022-06-03,Hawaii,15,275631,1454
2022-06-03,Idaho,16,453019,4944
2022-06-03,Illinois,17,3324779,38188
2022-06-03,Indiana,18,1738843,23712
2022-06-03,Iowa,19,780447,9603
2022-06-03,Kansas,20,789962,8963
2022-06-03,Kentucky,21,1368497,15945
2022-06-03,Louisiana,22,1265225,17341
2022-06-03,Maine,23,264051,2366
2022-06-03,Maryland,24,1096170,14629
2022-06-03,Massachusetts,25,1879517,20663
2022-06-03,Michigan,26,2547366,36407
2022-06-03,Minnesota,27,1516034,12974
2022-06-03,Mississippi,28,810484,12470
2022-06-03,Missouri,29,1479074,20791
2022-06-03,Montana,30,279390,3423
2022-06-03,Nebraska,31,488110,4294
2022-06-03,Nevada,32,743031,10906
2022-06-03,New Hampshire,33,326610,2543
2022-06-03,New Jersey,34,2407649,33755
2022-06-03,New Mexico,35,538629,7825
2022-06-03,New York,36,5448458,68440
2022-06-03,North Carolina,37,2774365,24663
2022-06-03,North Dakota,38,245476,2330
2022-06-03,Northern Mariana Islands,69,11366,34
2022-06-03,Ohio,39,2780653,38657
2022-06-03,Oklahoma,40,1052091,14437
2022-06-03,Oregon,41,770194,7657
2022-06-03,Pennsylvania,42,2936121,45283
2022-06-03,Puerto Rico,72,716355,4390
2022-06-03,Rhode Island,44,394573,3583
2022-06-03,South Carolina,45,1504967,17907
2022-06-03,South Dakota,46,240357,2928
2022-06-03,Tennessee,47,2018350,26220
2022-06-03,Texas,48,6887992,88591
2022-06-03,Utah,49,954938,4781
2022-06-03,Vermont,50,132676,670
2022-06-03,Virgin Islands,78,20039,113
2022-06-03,Virginia,51,1797700,20424
2022-06-03,Washington,53,1592579,13012
2022-06-03,West Virginia,54,518061,6974
2022-06-03,Wisconsin,55,1683270,14639
2022-06-03,Wyoming,56,158472,1820
2022-06-04,Alabama,01,1317029,19664
2022-06-04,Alaska,02,260440,1246
2022-06-04,American Samoa,60,6192,31
2022-06-04,Arizona,04,2062669,30332
2022-06-04,Arkansas,05,845647,11498
2022-06-04,California,06,9661160,91659
2022-06-04,Colorado,08,1462079,12770
2022-06-04,Connecticut,09,811932,10973
2022-06-04,Delaware,10,277666,2961
2022-06-04,District of Columbia,11,151005,1346
2022-06-04,Florida,12,6208047,74667
2022-06-04,Georgia,13,2499711,36758
2022-06-04,Guam,66,50293,365
2022-06-04,Hawaii,15,275631,1454
2022-06-04,Idaho,16,453019,4944
2022-06-04,Illinois,17,3324779,38188
2022-06-04,Indiana,18,1738843,23740
2022-06-04,Iowa,19,781963,9603
2022-06-04,Kansas,20,789962,8963
2022-06-04,Kentucky,21,1368713,15945
2022-06-04,Louisiana,22,1265225,17341
2022-06-04,Maine,23,264366,2382
2022-06-04,Maryland,24,1096170,14629
2022-06-04,Massachusetts,25,1879517,20663
2022-06-04,Michigan,26,2547366,36407
2022-06-04,Minnesota,27,1516034,12974
2022-06-04,Mississippi,28,810484,12470
2022-06-04,Missouri,29,1479113,20795
2022-06-04,Montana,30,279390,3423
2022-06-04,Nebraska,31,488110,4294
2022-06-04,Nevada,32,744192,10909
2022-06-04,New Hampshire,33,326610,2543
2022-06-04,New Jersey,34,2412005,33760
2022-06-04,New Mexico,35,538629,7825
2022-06-04,New York,36,5451859,68460
2022-06-04,North Carolina,37,2774365,24663
2022-06-04,North Dakota,38,245476,2330
2022-06-04,Northern Mariana Islands,69,11366,34
2022-06-04,Ohio,39,2780653,38657
2022-06-04,Oklahoma,40,1053558,14437
2022-06-04,Oregon,41,770194,7657
2022-06-04,Pennsylvania,42,2941231,45308
2022-06-04,Puerto Rico,72,721540,4398
2022-06-04,Rhode Island,44,394573,3583
2022-06-04,South Carolina,45,1504967,17907
2022-06-04,South Dakota,46,240357,2928
2022-06-04,Tennessee,47,2020366,26221
2022-06-04,Texas,48,6895024,88596
2022-06-04,Utah,49,954938,4781
2022-06-04,Vermont,50,132676,670
2022-06-04,Virgin Islands,78,20039,113
2022-06-04,Virginia,51,1797700,20424
2022-06-04,Washington,53,1592579,13012
2022-06-04,West Virginia,54,518061,6974
2022-06-04,Wisconsin,55,1683270,14639
2022-06-04,Wyoming,56,158472,1820
2022-06-05,Alabama,01,1317029,19664
2022-06-05,Alaska,02,260440,1246
2022-06-05,American Samoa,60,6192,31
2022-06-05,Arizona,04,2062669,30332
2022-06-05,Arkansas,05,845946,11498
2022-06-05,California,06,9661160,91659
2022-06-05,Colorado,08,1462079,12770
2022-06-05,Connecticut,09,811932,10973
2022-06-05,Delaware,10,277666,2961
2022-06-05,District of Columbia,11,151005,1346
2022-06-05,Florida,12,6208047,74667
2022-06-05,Georgia,13,2499711,36758
2022-06-05,Guam,66,50293,365
2022-06-05,Hawaii,15,275631,1454
2022-06-05,Idaho,16,453019,4944
2022-06-05,Illinois,17,3324779,38188
2022-06-05,Indiana,18,1738843,23740
2022-06-05,Iowa,19,781963,9603
2022-06-05,Kansas,20,789962,8963
2022-06-05,Kentucky,21,1369137,15945
2022-06-05,Louisiana,22,1265225,17341
2022-06-05,Maine,23,264366,2382
2022-06-05,Maryland,24,1096170,14629
2022-06-05,Massachusetts,25,1879517,20663
2022-06-05,Michigan,26,2547366,36407
2022-06-05,Minnesota,27,1516034,12974
2022-06-05,Mississippi,28,810484,12470
2022-06-05,Missouri,29,1479113,20795
2022-06-05,Montana,30,279390,3423
2022-06-05,Nebraska,31,488110,4294
2022-06-05,Nevada,32,744192,10909
2022-06-05,New Hampshire,33,326610,2543
2022-06-05,New Jersey,34,2415000,33764
2022-06-05,New Mexico,35,538629,7825
2022-06-05,New York,36,5454480,68470
2022-06-05,North Carolina,37,2774365,24663
2022-06-05,North Dakota,38,245476,2330
2022-06-05,Northern Mariana Islands,69,11366,34
2022-06-05,Ohio,39,2780653,38657
2022-06-05,Oklahoma,40,1053558,14437
2022-06-05,Oregon,41,770194,7657
2022-06-05,Pennsylvania,42,2941231,45308
2022-06-05,Puerto Rico,72,725881,4399
2022-06-05,Rhode Island,44,394573,3583
2022-06-05,South Carolina,45,1504967,17907
2022-06-05,South Dakota,46,240357,2928
2022-06-05,Tennessee,47,2020366,26221
2022-06-05,Texas,48,6900779,88599
2022-06-05,Utah,49,954938,4781
2022-06-05,Vermont,50,132676,670
2022-06-05,Virgin Islands,78,20083,113
2022-06-05,Virginia,51,1797700,20424
2022-06-05,Washington,53,1592579,13012
2022-06-05,West Virginia,54,518061,6974
2022-06-05,Wisconsin,55,1683270,14639
2022-06-05,Wyoming,56,158472,1820
2022-06-06,Alabama,01,1320708,19676
2022-06-06,Alaska,02,260440,1246
2022-06-06,American Samoa,60,6192,31
2022-06-06,Arizona,04,2062669,30332
2022-06-06,Arkansas,05,846119,11505
2022-06-06,California,06,9675504,91681
2022-06-06,Colorado,08,1467039,12773
2022-06-06,Connecticut,09,813676,10971
