date,state,fips,cases,deaths
2022-02-01,Alabama,01,1223896,17146
2022-02-01,Alaska,02,215643,1057
2022-02-01,American Samoa,60,18,0
2022-02-01,Arizona,04,1878211,26345
2022-02-01,Arkansas,05,781396,9670
2022-02-01,California,06,8447069,80434
2022-02-01,Colorado,08,1262603,11379
2022-02-01,Connecticut,09,700640,10076
2022-02-01,Delaware,10,248447,2544
2022-02-01,District of Columbia,11,130949,1290
2022-02-01,Florida,12,5555874,65271
2022-02-01,Georgia,13,2310054,31774
2022-02-01,Guam,66,33300,291
2022-02-01,Hawaii,15,215303,1178
2022-02-01,Idaho,16,382572,4427
2022-02-01,Illinois,17,2934402,34853
2022-02-01,Indiana,18,1632993,21487
2022-02-01,Iowa,19,719703,8501
2022-02-01,Kansas,20,731161,7567
2022-02-01,Kentucky,21,1179699,13008
2022-02-01,Louisiana,22,1174941,15744
2022-02-01,Maine,23,175759,1751
2022-02-01,Maryland,24,957036,13532
2022-02-01,Massachusetts,25,1614642,22164
2022-02-01,Michigan,26,2252688,32225
2022-02-01,Minnesota,27,1343240,11607
2022-02-01,Mississippi,28,731667,11044
2022-02-01,Missouri,29,1350910,17727
2022-02-01,Montana,30,243890,3020
2022-02-01,Nebraska,31,441456,3705
2022-02-01,Nevada,32,659036,9012
2022-02-01,New Hampshire,33,277355,2223
2022-02-01,New Jersey,34,2115305,31557
2022-02-01,New Mexico,35,481852,6475
2022-02-01,New York,36,4796000,64461
2022-02-01,North Carolina,37,2430619,20827
2022-02-01,North Dakota,38,225508,2140
2022-02-01,Northern Mariana Islands,69,5280,23
2022-02-01,Ohio,39,2586903,33537
2022-02-01,Oklahoma,40,979349,12044
2022-02-01,Oregon,41,638823,6124
2022-02-01,Pennsylvania,42,2667166,40836
2022-02-01,Puerto Rico,72,491256,3867
2022-02-01,Rhode Island,44,344841,3329
2022-02-01,South Carolina,45,1389266,15508
2022-02-01,South Dakota,46,228169,2660
2022-02-01,Tennessee,47,1830865,22399
2022-02-01,Texas,48,6254867,79934
2022-02-01,Utah,49,888532,4138
2022-02-01,Vermont,50,104837,542
2022-02-01,Virgin Islands,78,14903,101
2022-02-01,Virginia,51,1551705,16252
2022-02-01,Washington,53,1336200,10838
2022-02-01,West Virginia,54,448922,5778
2022-02-01,Wisconsin,55,1520874,12453
2022-02-01,Wyoming,56,147305,1650
2022-02-02,Alabama,01,1229300,17215
2022-02-02,Alaska,02,219767,1064
2022-02-02,American Samoa,60,18,0
2022-02-02,Arizona,04,1886541,26369
2022-02-02,Arkansas,05,786010,9693
2022-02-02,California,06,8483510,80727
2022-02-02,Colorado,08,1266514,11398
2022-02-02,Connecticut,09,702426,10083
2022-02-02,Delaware,10,248910,2552
2022-02-02,District of Columbia,11,131093,1290
2022-02-02,Florida,12,5572757,65273
2022-02-02,Georgia,13,2317869,31880
2022-02-02,Guam,66,34757,297
2022-02-02,Hawaii,15,216412,1188
2022-02-02,Idaho,16,384905,4455
2022-02-02,Illinois,17,2943829,34966
2022-02-02,Indiana,18,1639907,21598
2022-02-02,Iowa,19,722589,8657
2022-02-02,Kansas,20,740099,7604
2022-02-02,Kentucky,21,1188934,13034
2022-02-02,Louisiana,22,1179814,15781
2022-02-02,Maine,23,177099,1759
2022-02-02,Maryland,24,958385,13572
2022-02-02,Massachusetts,25,1620268,22255
2022-02-02,Michigan,26,2277192,32599
2022-02-02,Minnesota,27,1347150,11666
2022-02-02,Mississippi,28,737607,11170
2022-02-02,Missouri,29,1360166,17807
2022-02-02,Montana,30,245324,3030
2022-02-02,Nebraska,31,443144,3705
2022-02-02,Nevada,32,661168,9050
2022-02-02,New Hampshire,33,278691,2232
2022-02-02,New Jersey,34,2119298,31663
2022-02-02,New Mexico,35,484454,6490
2022-02-02,New York,36,4804328,64646
2022-02-02,North Carolina,37,2443062,20917
2022-02-02,North Dakota,38,226745,2162
2022-02-02,Northern Mariana Islands,69,5314,23
2022-02-02,Ohio,39,2595504,33537
2022-02-02,Oklahoma,40,983937,12193
2022-02-02,Oregon,41,643973,6163
2022-02-02,Pennsylvania,42,2674471,41028
2022-02-02,Puerto Rico,72,492819,3887
2022-02-02,Rhode Island,44,345836,3334
2022-02-02,South Carolina,45,1394651,15609
2022-02-02,South Dakota,46,228938,2665
2022-02-02,Tennessee,47,1835278,22544
2022-02-02,Texas,48,6280918,80221
2022-02-02,Utah,49,892141,4150
2022-02-02,Vermont,50,105569,545
2022-02-02,Virgin Islands,78,14903,101
2022-02-02,Virginia,51,1558383,16412
2022-02-02,Washington,53,1351639,10924
2022-02-02,West Virginia,54,451910,5814
2022-02-02,Wisconsin,55,1526321,12509
2022-02-02,Wyoming,56,148382,1650
2022-02-03,Alabama,01,1229300,17215
2022-02-03,Alaska,02,219767,1064
2022-02-03,American Samoa,60,18,0
