date,state,fips,cases,deaths
2022-12-01,Alabama,01,1549285,21129
2022-12-01,Alaska,02,300238,1390
2022-12-01,American Samoa,60,8263,34
2022-12-01,Arizona,04,2337547,31751
2022-12-01,Arkansas,05,969642,12580
2022-12-01,California,06,11535834,99913
2022-12-01,Colorado,08,1709483,13646
2022-12-01,Connecticut,09,927641,11587
2022-12-01,Delaware,10,317174,3172
2022-12-01,District of Columbia,11,171608,1407
2022-12-01,Florida,12,7195943,82875
2022-12-01,Georgia,13,2857433,39637
2022-12-01,Guam,66,60299,410
2022-12-01,Hawaii,15,358458,1734
2022-12-01,Idaho,16,506399,5281
2022-12-01,Illinois,17,3888967,40325
2022-12-01,Indiana,18,1965757,25164
2022-12-01,Iowa,19,873597,10296
2022-12-01,Kansas,20,902099,9801
2022-12-01,Kentucky,21,1639218,17591
2022-12-01,Louisiana,22,1473092,18274
2022-12-01,Maine,23,301752,2750
2022-12-01,Maryland,24,1289880,15825
2022-12-01,Massachusetts,25,2115549,22488
2022-12-01,Michigan,26,2938443,40085
2022-12-01,Minnesota,27,1713190,14094
2022-12-01,Mississippi,28,940023,13065
2022-12-01,Missouri,29,1711273,23067
2022-12-01,Montana,30,318360,3614
2022-12-01,Nebraska,31,543224,4800
2022-12-01,Nevada,32,864406,11755
2022-12-01,New Hampshire,33,361607,2821
2022-12-01,New Jersey,34,2851189,35161
2022-12-01,New Mexico,35,647334,8721
2022-12-01,New York,36,6380036,76759
2022-12-01,North Carolina,37,3275343,28559
2022-12-01,North Dakota,38,276274,2434
2022-12-01,Northern Mariana Islands,69,13212,41
2022-12-01,Ohio,39,3243850,40659
2022-12-01,Oklahoma,40,1225997,15986
2022-12-01,Oregon,41,924632,8870
2022-12-01,Pennsylvania,42,3360797,48467
2022-12-01,Puerto Rico,72,1044308,5376
2022-12-01,Rhode Island,44,437972,3774
2022-12-01,South Carolina,45,1738379,19274
2022-12-01,South Dakota,46,268797,3117
2022-12-01,Tennessee,47,2329549,28023
2022-12-01,Texas,48,7988954,92327
2022-12-01,Utah,49,1059170,5110
2022-12-01,Vermont,50,146777,770
2022-12-01,Virgin Islands,78,23445,124
2022-12-01,Virginia,51,2151313,22562
2022-12-01,Washington,53,1858440,14739
2022-12-01,West Virginia,54,615040,7733
2022-12-01,Wisconsin,55,1927886,15679
2022-12-01,Wyoming,56,180925,1938
2022-12-02,Alabama,01,1549285,21129
2022-12-02,Alaska,02,300238,1390
2022-12-02,American Samoa,60,8263,34
2022-12-02,Arizona,04,2337547,31751
2022-12-02,Arkansas,05,970396,12587
2022-12-02,California,06,11540816,99932
2022-12-02,Colorado,08,1711236,13651
2022-12-02,Connecticut,09,928712,11587
2022-12-02,Delaware,10,317405,3172
2022-12-02,District of Columbia,11,171608,1407
2022-12-02,Florida,12,7226875,83100
2022-12-02,Georgia,13,2857433,39637
2022-12-02,Guam,66,60299,410
2022-12-02,Hawaii,15,358458,1734
2022-12-02,Idaho,16,506417,5281
2022-12-02,Illinois,17,3892217,40339
2022-12-02,Indiana,18,1965757,25164
2022-12-02,Iowa,19,873597,10296
2022-12-02,Kansas,20,902143,9819
2022-12-02,Kentucky,21,1639218,17591
2022-12-02,Louisiana,22,1473092,18274
2022-12-02,Maine,23,301931,2752
2022-12-02,Maryland,24,1291132,15831
2022-12-02,Massachusetts,25,2115549,22488
2022-12-02,Michigan,26,2938443,40085
2022-12-02,Minnesota,27,1713190,14094
2022-12-02,Mississippi,28,940023,13065
2022-12-02,Missouri,29,1711984,23074
2022-12-02,Montana,30,319194,3617
2022-12-02,Nebraska,31,544705,4809
2022-12-02,Nevada,32,864406,11755
2022-12-02,New Hampshire,33,361890,2823
2022-12-02,New Jersey,34,2854044,35178
2022-12-02,New Mexico,35,647984,8721
2022-12-02,New York,36,6388095,76783
2022-12-02,North Carolina,37,3275343,28559
2022-12-02,North Dakota,38,277366,2434
2022-12-02,Northern Mariana Islands,69,13212,41
2022-12-02,Ohio,39,3243850,40659
2022-12-02,Oklahoma,40,1225997,15986
2022-12-02,Oregon,41,924632,8870
2022-12-02,Pennsylvania,42,3360797,48467
2022-12-02,Puerto Rico,72,1048678,5383
2022-12-02,Rhode Island,44,437972,3774
2022-12-02,South Carolina,45,1738379,19274
2022-12-02,South Dakota,46,268797,3117
2022-12-02,Tennessee,47,2329549,28023
2022-12-02,Texas,48,7989576,92327
2022-12-02,Utah,49,1063566,5127
2022-12-02,Vermont,50,146777,770
2022-12-02,Virgin Islands,78,23445,124
2022-12-02,Virginia,51,2153223,22582
2022-12-02,Washington,53,1858440,14739
2022-12-02,West Virginia,54,615332,7740
2022-12-02,Wisconsin,55,1929331,15684
2022-12-02,Wyoming,56,180925,1938
2022-12-03,Alabama,01,1549285,21129
2022-12-03,Alaska,02,300238,1390
2022-12-03,American Samoa,60,8263,34
2022-12-03,Arizona,04,2337547,31751
2022-12-03,Arkansas,05,970857,12594
2022-12-03,California,06,11540816,99932
2022-12-03,Colorado,08,1711236,13651
2022-12-03,Connecticut,09,928712,11587
2022-12-03,Delaware,10,317405,3172
2022-12-03,District of Columbia,11,171608,1407
2022-12-03,Florida,12,7226875,83100
2022-12-03,Georgia,13,2857433,39637
2022-12-03,Guam,66,60299,410
2022-12-03,Hawaii,15,358458,1734
2022-12-03,Idaho,16,506417,5281
2022-12-03,Illinois,17,3892217,40339
2022-12-03,Indiana,18,1965757,25164
2022-12-03,Iowa,19,873597,10296
2022-12-03,Kansas,20,902143,9819
2022-12-03,Kentucky,21,1639218,17591
2022-12-03,Louisiana,22,1473092,18274
2022-12-03,Maine,23,302065,2756
2022-12-03,Maryland,24,1291132,15831
2022-12-03,Massachusetts,25,2115549,22488
2022-12-03,Michigan,26,2938443,40085
2022-12-03,Minnesota,27,1713190,14094
2022-12-03,Mississippi,28,940023,13065
2022-12-03,Missouri,29,1711983,23074
2022-12-03,Montana,30,319194,3617
2022-12-03,Nebraska,31,544705,4809
2022-12-03,Nevada,32,864406,11755
2022-12-03,New Hampshire,33,361890,2823
2022-12-03,New Jersey,34,2854044,35178
2022-12-03,New Mexico,35,647984,8721
2022-12-03,New York,36,6390906,76783
2022-12-03,North Carolina,37,3275343,28559
2022-12-03,North Dakota,38,277366,2434
2022-12-03,Northern Mariana Islands,69,13212,41
2022-12-03,Ohio,39,3243850,40659
2022-12-03,Oklahoma,40,1225997,15986
2022-12-03,Oregon,41,924632,8870
2022-12-03,Pennsylvania,42,3360797,48467
2022-12-03,Puerto Rico,72,1050134,5391
2022-12-03,Rhode Island,44,437972,3774
2022-12-03,South Carolina,45,1738379,19274
2022-12-03,South Dakota,46,268797,3117
2022-12-03,Tennessee,47,2329549,28023
2022-12-03,Texas,48,7989576,92327
2022-12-03,Utah,49,1063566,5127
2022-12-03,Vermont,50,146777,770
2022-12-03,Virgin Islands,78,23445,124
2022-12-03,Virginia,51,2153223,22582
2022-12-03,Washington,53,1858440,14739
2022-12-03,West Virginia,54,615332,7740
2022-12-03,Wisconsin,55,1929331,15684
2022-12-03,Wyoming,56,180925,1938
2022-12-04,Alabama,01,1549285,21129
2022-12-04,Alaska,02,300238,1390
2022-12-04,American Samoa,60,8263,34
2022-12-04,Arizona,04,2337547,31751
2022-12-04,Arkansas,05,971020,12594
2022-12-04,California,06,11540816,99932
2022-12-04,Colorado,08,1711236,13651
2022-12-04,Connecticut,09,929619,11587
2022-12-04,Delaware,10,317405,3172
2022-12-04,District of Columbia,11,171608,1407
2022-12-04,Florida,12,7226875,83100
2022-12-04,Georgia,13,2857433,39637
2022-12-04,Guam,66,60299,410
2022-12-04,Hawaii,15,358458,1734
2022-12-04,Idaho,16,506417,5281
2022-12-04,Illinois,17,3892217,40339
2022-12-04,Indiana,18,1965757,25164
