date,state,fips,cases,deaths
2022-01-01,Alabama,01,896614,16455
2022-01-01,Alaska,02,156130,954
2022-01-01,American Samoa,60,11,0
2022-01-01,Arizona,04,1389708,24354
2022-01-01,Arkansas,05,570641,9180
2022-01-01,California,06,5515613,76709
2022-01-01,Colorado,08,933257,10480
2022-01-01,Connecticut,09,510188,9160
2022-01-01,Delaware,10,183880,2286
2022-01-01,District of Columbia,11,94286,1211
2022-01-01,Florida,12,4166392,62504
2022-01-01,Georgia,13,1798497,30283
2022-01-01,Guam,66,20576,271
2022-01-01,Hawaii,15,112283,1091
2022-01-01,Idaho,16,319442,4163
2022-01-01,Illinois,17,2154058,31017
2022-01-01,Indiana,18,1250565,19037
2022-01-01,Iowa,19,575501,7858
2022-01-01,Kansas,20,520500,7030
2022-01-01,Kentucky,21,866041,12149
2022-01-01,Louisiana,22,828695,14986
2022-01-01,Maine,23,146736,1531
2022-01-01,Maryland,24,700789,11758
2022-01-01,Massachusetts,25,1140614,20273
2022-01-01,Michigan,26,1706355,28984
2022-01-01,Minnesota,27,1022352,10656
2022-01-01,Mississippi,28,543737,10450
2022-01-01,Missouri,29,1023310,16227
2022-01-01,Montana,30,197784,2907
2022-01-01,Nebraska,31,338257,3336
2022-01-01,Nevada,32,501181,8420
2022-01-01,New Hampshire,33,198667,1961
2022-01-01,New Jersey,34,1596644,29053
2022-01-01,New Mexico,35,350043,5857
2022-01-01,New York,36,3555047,59072
2022-01-01,North Carolina,37,1685504,19436
2022-01-01,North Dakota,38,174671,2057
2022-01-01,Northern Mariana Islands,69,3287,14
2022-01-01,Ohio,39,2016095,29447
2022-01-01,Oklahoma,40,708938,11552
2022-01-01,Oregon,41,421263,5655
2022-01-01,Pennsylvania,42,2059613,36714
2022-01-01,Puerto Rico,72,305905,3308
2022-01-01,Rhode Island,44,231096,3066
2022-01-01,South Carolina,45,975320,14636
2022-01-01,South Dakota,46,179204,2486
2022-01-01,Tennessee,47,1379917,20640
2022-01-01,Texas,48,4578763,76062
2022-01-01,Utah,49,637144,3787
2022-01-01,Vermont,50,64447,471
2022-01-01,Virgin Islands,78,9055,89
2022-01-01,Virginia,51,1118518,15587
2022-01-01,Washington,53,852824,9904
2022-01-01,West Virginia,54,328162,5336
2022-01-01,Wisconsin,55,1120669,11173
2022-01-01,Wyoming,56,115638,1526
2022-01-02,Alabama,01,909541,16455
2022-01-02,Alaska,02,156130,954
2022-01-02,American Samoa,60,11,0
2022-01-02,Arizona,04,1390409,24355
2022-01-02,Arkansas,05,572822,9196
2022-01-02,California,06,5560323,76712
2022-01-02,Colorado,08,936422,10485
2022-01-02,Connecticut,09,510188,9160
2022-01-02,Delaware,10,186996,2286
2022-01-02,District of Columbia,11,94286,1211
2022-01-02,Florida,12,4166392,62504
2022-01-02,Georgia,13,1798497,30283
2022-01-02,Guam,66,20576,271
2022-01-02,Hawaii,15,115400,1091
2022-01-02,Idaho,16,319442,4163
2022-01-02,Illinois,17,2154058,31017
2022-01-02,Indiana,18,1250565,19037
2022-01-02,Iowa,19,575501,7858
2022-01-02,Kansas,20,520500,7030
2022-01-02,Kentucky,21,866894,12149
2022-01-02,Louisiana,22,828695,14986
2022-01-02,Maine,23,146736,1531
2022-01-02,Maryland,24,737437,11870
2022-01-02,Massachusetts,25,1140614,20273
2022-01-02,Michigan,26,1706355,28984
2022-01-02,Minnesota,27,1022352,10656
2022-01-02,Mississippi,28,543737,10450
2022-01-02,Missouri,29,1029231,16233
2022-01-02,Montana,30,197784,2907
2022-01-02,Nebraska,31,338257,3336
2022-01-02,Nevada,32,501181,8420
2022-01-02,New Hampshire,33,198667,1961
2022-01-02,New Jersey,34,1623096,29056
2022-01-02,New Mexico,35,350043,5857
2022-01-02,New York,36,3617589,59152
2022-01-02,North Carolina,37,1685504,19436
2022-01-02,North Dakota,38,174787,2057
2022-01-02,Northern Mariana Islands,69,3297,17
2022-01-02,Ohio,39,2053721,29447
2022-01-02,Oklahoma,40,708938,11552
2022-01-02,Oregon,41,421263,5655
2022-01-02,Pennsylvania,42,2077224,36715
2022-01-02,Puerto Rico,72,332003,3310
2022-01-02,Rhode Island,44,231096,3066
2022-01-02,South Carolina,45,975320,14636
2022-01-02,South Dakota,46,179204,2486
2022-01-02,Tennessee,47,1379917,20640
2022-01-02,Texas,48,4581606,76062
2022-01-02,Utah,49,637144,3787
2022-01-02,Vermont,50,64447,471
2022-01-02,Virgin Islands,78,9055,89
2022-01-02,Virginia,51,1118518,15587
2022-01-02,Washington,53,852824,9904
2022-01-02,West Virginia,54,328162,5336
2022-01-02,Wisconsin,55,1120669,11173
2022-01-02,Wyoming,56,115638,1526
2022-01-03,Alabama,01,913603,16455
2022-01-03,Alaska,02,159019,955
2022-01-03,American Samoa,60,11,0
2022-01-03,Arizona,04,1404601,24355
2022-01-03,Arkansas,05,574572,9221
2022-01-03,California,06,5606685,76745
2022-01-03,Colorado,08,959215,10509
2022-01-03,Connecticut,09,533866,9210
2022-01-03,Delaware,10,189382,2286
2022-01-03,District of Columbia,11,103487,1218
2022-01-03,Florida,12,4166392,62504
2022-01-03,Georgia,13,1798497,30283
2022-01-03,Guam,66,20576,271
2022-01-03,Hawaii,15,118330,1091
2022-01-03,Idaho,16,320862,4170
2022-01-03,Illinois,17,2243215,31212
2022-01-03,Indiana,18,1282001,19084
2022-01-03,Iowa,19,575501,7858
2022-01-03,Kansas,20,534978,7072
2022-01-03,Kentucky,21,885062,12267
2022-01-03,Louisiana,22,859856,15001
2022-01-03,Maine,23,146736,1531
2022-01-03,Maryland,24,751688,11896
2022-01-03,Massachusetts,25,1173704,20315
2022-01-03,Michigan,26,1771160,29307
2022-01-03,Minnesota,27,1029126,10704
2022-01-03,Mississippi,28,561262,10455
2022-01-03,Missouri,29,1049387,16237
2022-01-03,Montana,30,198769,2909
2022-01-03,Nebraska,31,344392,3338
2022-01-03,Nevada,32,514344,8428
2022-01-03,New Hampshire,33,203749,1973
2022-01-03,New Jersey,34,1644839,29073
2022-01-03,New Mexico,35,357480,5868
2022-01-03,New York,36,3678042,59240
2022-01-03,North Carolina,37,1732706,19467
2022-01-03,North Dakota,38,175145,2057
2022-01-03,Northern Mariana Islands,69,3334,18
2022-01-03,Ohio,39,2072663,29447
2022-01-03,Oklahoma,40,716851,11552
2022-01-03,Oregon,41,430931,5666
2022-01-03,Pennsylvania,42,2101019,36799
2022-01-03,Puerto Rico,72,336714,3314
2022-01-03,Rhode Island,44,231096,3066
2022-01-03,South Carolina,45,975320,14636
2022-01-03,South Dakota,46,179983,2494
2022-01-03,Tennessee,47,1419217,20691
2022-01-03,Texas,48,4746508,76280
2022-01-03,Utah,49,651898,3804
2022-01-03,Vermont,50,67226,480
2022-01-03,Virgin Islands,78,10290,89
2022-01-03,Virginia,51,1160703,15615
2022-01-03,Washington,53,883675,9908
2022-01-03,West Virginia,54,337326,5356
2022-01-03,Wisconsin,55,1132362,11185
2022-01-03,Wyoming,56,116643,1526
2022-01-04,Alabama,01,921175,16496
2022-01-04,Alaska,02,159019,955
2022-01-04,American Samoa,60,11,0
2022-01-04,Arizona,04,1411813,24509
2022-01-04,Arkansas,05,581134,9248
2022-01-04,California,06,5748437,76821
2022-01-04,Colorado,08,967513,10546
2022-01-04,Connecticut,09,544468,9274
2022-01-04,Delaware,10,191649,2286
2022-01-04,District of Columbia,11,105493,1220
2022-01-04,Florida,12,4360178,62541
2022-01-04,Georgia,13,1860683,30332
2022-01-04,Guam,66,20576,271
2022-01-04,Hawaii,15,119830,1091
2022-01-04,Idaho,16,322584,4189
2022-01-04,Illinois,17,2267641,31312
2022-01-04,Indiana,18,1290307,19256
2022-01-04,Iowa,19,587386,7858
2022-01-04,Kansas,20,535130,7072
2022-01-04,Kentucky,21,891654,12287
2022-01-04,Louisiana,22,869146,15018
2022-01-04,Maine,23,148217,1556
2022-01-04,Maryland,24,766182,11944
2022-01-04,Massachusetts,25,1192549,20410
2022-01-04,Michigan,26,1771200,29307
2022-01-04,Minnesota,27,1045310,10740
2022-01-04,Mississippi,28,566102,10492
2022-01-04,Missouri,29,1057092,16408
2022-01-04,Montana,30,199737,2912
2022-01-04,Nebraska,31,346860,3344
2022-01-04,Nevada,32,517246,8468
2022-01-04,New Hampshire,33,204897,2004
2022-01-04,New Jersey,34,1674453,29151
2022-01-04,New Mexico,35,359116,5899
2022-01-04,New York,36,3729331,59339
2022-01-04,North Carolina,37,1743469,19504
2022-01-04,North Dakota,38,176374,2060
2022-01-04,Northern Mariana Islands,69,3392,18
2022-01-04,Ohio,39,2093074,29674
2022-01-04,Oklahoma,40,720961,11552
2022-01-04,Oregon,41,435453,5710
2022-01-04,Pennsylvania,42,2122986,36968
2022-01-04,Puerto Rico,72,338600,3318
2022-01-04,Rhode Island,44,247324,3096
2022-01-04,South Carolina,45,1011271,14674
2022-01-04,South Dakota,46,183030,2498
2022-01-04,Tennessee,47,1427973,20741
2022-01-04,Texas,48,4800498,76347
2022-01-04,Utah,49,656553,3811
2022-01-04,Vermont,50,68957,480
2022-01-04,Virgin Islands,78,10714,89
2022-01-04,Virginia,51,1176159,15622
2022-01-04,Washington,53,891639,9956
2022-01-04,West Virginia,54,339679,5361
2022-01-04,Wisconsin,55,1142291,11246
2022-01-04,Wyoming,56,117389,1572
2022-01-05,Alabama,01,932250,16503
2022-01-05,Alaska,02,159019,955
2022-01-05,American Samoa,60,11,0
2022-01-05,Arizona,04,1419562,24570
2022-01-05,Arkansas,05,588622,9256
2022-01-05,California,06,5807748,76967
2022-01-05,Colorado,08,975431,10566
2022-01-05,Connecticut,09,554812,9281
2022-01-05,Delaware,10,192968,2286
2022-01-05,District of Columbia,11,106819,1222
2022-01-05,Florida,12,4419665,62542
2022-01-05,Georgia,13,1883128,30353
2022-01-05,Guam,66,21057,274
2022-01-05,Hawaii,15,122385,1091
2022-01-05,Idaho,16,324035,4194
2022-01-05,Illinois,17,2299850,31416
2022-01-05,Indiana,18,1303201,19296
2022-01-05,Iowa,19,596296,8019
2022-01-05,Kansas,20,550127,7090
2022-01-05,Kentucky,21,901534,12317
2022-01-05,Louisiana,22,879549,15027
2022-01-05,Maine,23,149543,1582
2022-01-05,Maryland,24,776468,11993
2022-01-05,Massachusetts,25,1223354,20464
2022-01-05,Michigan,26,1804085,29624
2022-01-05,Minnesota,27,1049450,10811
2022-01-05,Mississippi,28,572694,10503
2022-01-05,Missouri,29,1070390,16449
2022-01-05,Montana,30,200846,2916
2022-01-05,Nebraska,31,349523,3373
2022-01-05,Nevada,32,520948,8488
2022-01-05,New Hampshire,33,208073,2013
2022-01-05,New Jersey,34,1711738,29209
2022-01-05,New Mexico,35,361629,5935
2022-01-05,New York,36,3804480,59485
2022-01-05,North Carolina,37,1763388,19552
2022-01-05,North Dakota,38,177857,2068
2022-01-05,Northern Mariana Islands,69,3453,18
2022-01-05,Ohio,39,2112824,29674
2022-01-05,Oklahoma,40,724875,11647
2022-01-05,Oregon,41,441648,5719
2022-01-05,Pennsylvania,42,2150286,37111
2022-01-05,Puerto Rico,72,346363,3324
2022-01-05,Rhode Island,44,253192,3107
2022-01-05,South Carolina,45,1018435,14715
2022-01-05,South Dakota,46,185284,2507
2022-01-05,Tennessee,47,1427973,20741
2022-01-05,Texas,48,4848294,76446
