date,state,fips,cases,deaths
2022-03-01,Alabama,01,1280351,18287
2022-03-01,Alaska,02,237977,1128
2022-03-01,American Samoa,60,94,0
2022-03-01,Arizona,04,1976890,27946
2022-03-01,Arkansas,05,820677,10579
2022-03-01,California,06,8978975,85682
2022-03-01,Colorado,08,1320858,12028
2022-03-01,Connecticut,09,723559,10471
2022-03-01,Delaware,10,256656,2711
2022-03-01,District of Columbia,11,134623,1319
2022-03-01,Florida,12,5808620,70247
2022-03-01,Georgia,13,2396446,34164
2022-03-01,Guam,66,45542,329
2022-03-01,Hawaii,15,230575,1331
2022-03-01,Idaho,16,427831,4765
2022-03-01,Illinois,17,3038507,36953
2022-03-01,Indiana,18,1686214,22880
2022-03-01,Iowa,19,754073,9085
2022-03-01,Kansas,20,766997,7969
2022-03-01,Kentucky,21,1290555,13934
2022-03-01,Louisiana,22,1225637,16606
2022-03-01,Maine,23,227332,2065
2022-03-01,Maryland,24,1002897,14135
2022-03-01,Massachusetts,25,1672594,23488
2022-03-01,Michigan,26,2354772,34467
2022-03-01,Minnesota,27,1415832,12311
2022-03-01,Mississippi,28,790168,12100
2022-03-01,Missouri,29,1414024,19237
2022-03-01,Montana,30,267513,3190
2022-03-01,Nebraska,31,475690,3986
2022-03-01,Nevada,32,684031,9716
2022-03-01,New Hampshire,33,298626,2387
2022-03-01,New Jersey,34,2168631,32951
2022-03-01,New Mexico,35,512120,6927
2022-03-01,New York,36,4909771,66791
2022-03-01,North Carolina,37,2592518,22618
2022-03-01,North Dakota,38,238207,2241
2022-03-01,Northern Mariana Islands,69,9724,30
2022-03-01,Ohio,39,2654991,36822
2022-03-01,Oklahoma,40,1021849,12990
2022-03-01,Oregon,41,694649,6648
2022-03-01,Pennsylvania,42,2758482,43332
2022-03-01,Puerto Rico,72,507138,4114
2022-03-01,Rhode Island,44,356095,3413
2022-03-01,South Carolina,45,1461426,16912
2022-03-01,South Dakota,46,236056,2808
2022-03-01,Tennessee,47,1957929,24245
2022-03-01,Texas,48,6565659,85143
2022-03-01,Utah,49,923313,4417
2022-03-01,Vermont,50,112364,598
2022-03-01,Virgin Islands,78,15402,109
2022-03-01,Virginia,51,1641438,18811
2022-03-01,Washington,53,1424853,11941
2022-03-01,West Virginia,54,490544,6339
2022-03-01,Wisconsin,55,1572917,13351
2022-03-01,Wyoming,56,155184,1741
2022-03-02,Alabama,01,1281610,18335
2022-03-02,Alaska,02,238547,1155
2022-03-02,American Samoa,60,135,0
2022-03-02,Arizona,04,1980769,27947
2022-03-02,Arkansas,05,821236,10611
2022-03-02,California,06,8984737,85975
2022-03-02,Colorado,08,1321703,12035
2022-03-02,Connecticut,09,723812,10512
2022-03-02,Delaware,10,256753,2711
2022-03-02,District of Columbia,11,134678,1321
2022-03-02,Florida,12,5810369,70247
2022-03-02,Georgia,13,2397749,34230
2022-03-02,Guam,66,45542,329
2022-03-02,Hawaii,15,230714,1338
2022-03-02,Idaho,16,429571,4774
2022-03-02,Illinois,17,3040100,37010
2022-03-02,Indiana,18,1686660,22928
2022-03-02,Iowa,19,754511,9171
2022-03-02,Kansas,20,767939,7997
2022-03-02,Kentucky,21,1292722,13978
2022-03-02,Louisiana,22,1227106,16677
2022-03-02,Maine,23,228241,2078
2022-03-02,Maryland,24,1003302,14146
2022-03-02,Massachusetts,25,1673611,23525
2022-03-02,Michigan,26,2357880,34727
2022-03-02,Minnesota,27,1416371,12332
2022-03-02,Mississippi,28,790616,12115
2022-03-02,Missouri,29,1414729,19272
2022-03-02,Montana,30,268397,3192
